資料庫Id,設備CustomId,屬性CustomId,X 座標,Y 座標,圖示大小,Icon類別,超連結地圖名稱,Arg1,所屬地圖名稱,反向點,超連結網址,轉向角度
37985,,,28.376,2.378,0,TransparentLinkMap,CE區電力系統2,{'width':9.68;'height':4.68},CE區電力系統1,False,,0
37988,,,69.932,2.258,0,TransparentLinkMap,CE區電力系統,{'width':9.68;'height':4.68},CE區電力系統1,False,,0
37989,,,59.523,2.258,0,TransparentLinkMap,CE區電力系統5,{'width':9.68;'height':4.68},CE區電力系統1,False,,0
37990,,,38.624,2.378,0,TransparentLinkMap,CE區電力系統3,{'width':9.68;'height':4.68},CE區電力系統1,False,,0
37991,,,49.114,2.258,0,TransparentLinkMap,CE區電力系統4,{'width':9.68;'height':4.68},CE區電力系統1,False,,0
37992,,,17.564,2.138,0,TransparentLinkMap,CE區電力系統1,{'width':10;'height':5},CE區電力系統2,False,,0
37993,,,38.543,2.018,0,TransparentLinkMap,CE區電力系統3,{'width':10;'height':5},CE區電力系統2,False,,0
37994,,,48.952,2.138,0,TransparentLinkMap,CE區電力系統4,{'width':10;'height':5},CE區電力系統2,False,,0
37995,,,59.28,2.258,0,TransparentLinkMap,CE區電力系統5,{'width':10;'height':5},CE區電力系統2,False,,0
37996,,,69.689,2.018,0,TransparentLinkMap,CE區電力系統,{'width':10;'height':5},CE區電力系統2,False,,0
37997,,,17.725,1.778,0,TransparentLinkMap,CE區電力系統1,{'width':10;'height':5},CE區電力系統3,False,,0
37998,,,28.054,1.778,0,TransparentLinkMap,CE區電力系統2,{'width':10;'height':5},CE區電力系統3,False,,0
37999,,,48.952,2.018,0,TransparentLinkMap,CE區電力系統4,{'width':10;'height':5},CE區電力系統3,False,,0
38000,,,59.28,2.138,0,TransparentLinkMap,CE區電力系統5,{'width':10;'height':5},CE區電力系統3,False,,0
38001,,,69.689,1.778,0,TransparentLinkMap,CE區電力系統,{'width':10;'height':5},CE區電力系統3,False,,0
38002,,,17.725,2.138,0,TransparentLinkMap,CE區電力系統1,{'width':10;'height':5},CE區電力系統4,False,,0
38003,,,28.054,2.258,0,TransparentLinkMap,CE區電力系統2,{'width':10;'height':5},CE區電力系統4,False,,0
